nome_distrito;tem_drenagem;qt_trechos_drenagem;extensao_total_m;id;regiao;lat;long
BELA VISTA;1;8;7165.0;8583447;Centro;33.184.325.263.235.900;73.934.248.386.683.100
MOOCA;1;24;19159.11;8583397;Leste;3.370.670.784.310.360;7.393.429.808.420.730
BOM RETIRO;1;7;6089.05;8583449;Centro;33.289.838.995.556.700;7.397.289.680.223.470
ERMELINO MATARAZZO;1;89;24578.66;8583468;Leste;3.484.075.873.547.840;740.130.942.902.798
SANTO AMARO;1;92;43397.6;8583414;Sul;3.264.773.260.227.870;7.384.333.527.432.430
VILA MARIANA;1;63;30126.87;8583434;Sul;3.330.782.913.173.350;7.390.598.456.900.550
CARRAO;1;36;21595.89;8583460;Leste;3.429.875.314.066.370;7.394.631.443.703.650
BARRA FUNDA;1;39;22041.05;8583446;Oeste;32.908.606.623.616.300;7.397.785.450.744.070
VILA ANDRADE;1;66;21531.08;8583427;Sul;32.369.264.536.694.100;7.386.088.049.181.130
SANTA CECILIA;1;2;6550.77;8583412;Centro;33.126.546.110.915.600;73.966.367.733.759
VILA MATILDE;1;55;24917.74;8583435;Leste;3.450.582.555.991.460;7.395.951.293.144.710
PERUS;1;272;83799.15;8583404;Norte;321.575.764.362.987;7.410.241.687.569.210
ARTUR ALVIM;1;60;18033.49;8583445;Leste;34.833.208.411.795.800;7.395.898.900.477.490
SOCORRO;1;102;24912.91;8583423;Sul;3.252.569.548.141.480;7.379.566.697.617.680
PARI;1;2;1906.71;8583399;Leste;33.487.063.844.474.900;7.397.188.308.176.810
MARSILAC;1;10351;1401978.17;8583395;Sul;3.261.743.382.957.490;7.351.889.302.197.220
SE;1;26;9432.62;8583422;Centro;33.347.349.560.905.100;7.394.899.116.261.680
VILA MEDEIROS;1;30;14364.51;8583436;Norte;338.897.080.779.739;7.401.491.321.326.970
TUCURUVI;1;122;38258.54;8583426;Norte;3.359.778.407.133.610;74.029.026.466.059.800
